#TYPE System.Diagnostics.Process
"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","dwm","226","271646720","64217088","83025920","25984","C:\Windows\system32\Dwm.exe","Microsoft Corporation","7783,3890932","6.1.7600.16385 (win7_rtm.090713-1255)","6.1.7600.16385","Administrador de ventanas del escritorio","Sistema operativo Microsoft? Windows?","13",,"False",,"2304","226","5044",".","0","","System.Diagnostics.ProcessModule (Dwm.exe)","2147483648","52428800","System.Diagnostics.ProcessModuleCollection","25984","25984","83025920","83025920","381192","381192","118255616","118255616","203948032","203948032","430374912","430374912","True","High","83025920","83025920","00:30:46.3030352","dwm","15","True","1","System.Diagnostics.ProcessStartInfo","16/07/2011 14:55:47",,"System.Diagnostics.ProcessThreadCollection","02:09:43.3890932","01:38:57.0860580","271646720","271646720","False",,,,"64217088","64217088",,
"Process","MovieMaker","1595","1693257728","457838592","1013616640","294016","C:\Program Files (x86)\Windows Live\Photo Gallery\MovieMaker.exe","Microsoft Corporation","5023,9342045","15.4.3508.1109_ship.wlx.w4m4 (ship)","15.4.3508.1109","Windows Live Movie Maker","Windows Live? Movie Maker","8",,"False",,"1308","1595","8880",".","528710","3 - Windows Live Movie Maker","System.Diagnostics.ProcessModule (MovieMaker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","294016","294016","1013616640","1013616640","1669896","1669896","1104728064","1104728064","549916672","549916672","1775247360","1775247360","True","Normal","1013616640","1013616640","00:18:30.1811165","MovieMaker","15","True","1","System.Diagnostics.ProcessStartInfo","19/07/2011 13:37:16",,"System.Diagnostics.ProcessThreadCollection","01:23:43.9342045","01:05:13.7530880","1693257728","1693257728","False",,,,"457838592","457838592",,
"Process","explorer","2033","602734592","95170560","122056704","197192","C:\Windows\Explorer.EXE","Microsoft Corporation","3582,7345661","6.1.7600.16385 (win7_rtm.090713-1255)","6.1.7600.16385","Explorador de Windows","Sistema operativo Microsoft? Windows?","8",,"False",,"1384","2033","5084",".","65702","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","197192","197192","122056704","122056704","927768","927768","246108160","246108160","182407168","182407168","-864190464","3430776832","True","Normal","122056704","122056704","00:26:15.2044974","explorer","15","True","1","System.Diagnostics.ProcessStartInfo","16/07/2011 14:55:47",,"System.Diagnostics.ProcessThreadCollection","00:59:42.7969665","00:33:27.5924691","602734592","602734592","False",,,,"95170560","95170560",,
"Process","ekrn","364","158572544","29483008","67321856","29416","C:\Program Files\ESET\ESET NOD32 Antivirus\x86\ekrn.exe","ESET","3450,4925184","4.2.40.10 ","4.2.40.10 ","ESET Service","ESET Smart Security","8",,"False",,"2984","364","2004",".","0","","System.Diagnostics.ProcessModule (ekrn.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29416","29416","67321856","67321856","134864","134864","181194752","181194752","147181568","147181568","553525248","553525248","True","Normal","67321856","67321856","00:11:24.0175847","ekrn","15","True","0","System.Diagnostics.ProcessStartInfo","16/07/2011 14:54:13",,"System.Diagnostics.ProcessThreadCollection","00:57:30.4925184","00:46:06.4749337","158572544","158572544","False",,,,"29483008","29483008",,
"Process","svchost","841","361816064","169504768","179253248","38224","C:\Windows\System32\svchost.exe","Microsoft Corporation","2706,0869466","6.1.7600.16385 (win7_rtm.090713-1255)","6.1.7600.16385","Proceso host para los servicios de Windows","Sistema operativo Microsoft? Windows?","8",,"False",,"2024","841","396",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38224","38224","179253248","179253248","210320","210320","246820864","246820864","232964096","232964096","402554880","402554880","True","Normal","179253248","179253248","00:13:29.7387906","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","16/07/2011 14:54:11",,"System.Diagnostics.ProcessThreadCollection","00:45:06.0869466","00:31:36.3481560","361816064","361816064","False",,,,"169504768","169504768",,
"Process","svchost","341","163897344","17272832","81035264","35384","C:\Windows\System32\svchost.exe","Microsoft Corporation","1991,352765","6.1.7600.16385 (win7_rtm.090713-1255)","6.1.7600.16385","Proceso host para los servicios de Windows","Sistema operativo Microsoft? Windows?","8",,"False",,"2212","341","1648",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","35384","35384","81035264","81035264","155312","155312","219107328","219107328","148512768","148512768","361304064","361304064","True","Normal","81035264","81035264","00:05:04.2019500","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","16/07/2011 14:54:37",,"System.Diagnostics.ProcessThreadCollection","00:33:11.3527650","00:28:07.1508150","163897344","163897344","False",,,,"17272832","17272832",,
"Process","DVDMF","2380","982667264","47587328","454729728","285512","C:\Program Files (x86)\Corel\Corel DVD MovieFactory Lenovo Edition\DVD MovieFactory\DVDMF.exe","Corel Corporation","1744,7619843","7.0.0.0","7.0.0.0","Corel DVD MovieFactory","Corel DVD MovieFactory","8",,"False",,"2492","2380","8368",".","528898","Corel DVD MovieFactory SE - Seleccionar origen e importar (paso: 1/3)","System.Diagnostics.ProcessModule (DVDMF.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","285512","285512","454729728","454729728","833480","833480","490532864","490532864","263565312","263565312","1016074240","1016074240","True","Normal","454729728","454729728","00:06:37.1317457","DVDMF","15","True","1","System.Diagnostics.ProcessStartInfo","19/07/2011 13:44:41",,"System.Diagnostics.ProcessThreadCollection","00:29:04.7619843","00:22:27.6302386","982667264","982667264","False",,,,"47587328","47587328",,
"Process","googleearth","1354","480301056","226934784","286842880","134840","C:\Program Files (x86)\Google\Google Earth\client\googleearth.exe","Google","1627,8236347","5.2.1.1588","","Google Earth","Google Earth","8",,"False",,"816","1354","9812",".","2950698","Google Earth","System.Diagnostics.ProcessModule (googleearth.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","134840","134840","286842880","286842880","490152","490152","300711936","300711936","241287168","241287168","506093568","506093568","True","Normal","286842880","286842880","00:04:23.9536920","googleearth","15","True","1","System.Diagnostics.ProcessStartInfo","20/07/2011 18:20:44",,"System.Diagnostics.ProcessThreadCollection","00:27:07.8236347","00:22:43.8699427","480301056","480301056","False",,,,"226934784","226934784",,
"Process","taskmgr","135","100814848","9310208","5791744","12472","C:\Windows\system32\taskmgr.exe","Microsoft Corporation","1302,4679491","6.1.7600.16385 (win7_rtm.090713-1255)","6.1.7600.16385","Administrador de tareas de Windows","Sistema operativo Microsoft? Windows?","13",,"False",,"3200","135","4068",".","0","","System.Diagnostics.ProcessModule (taskmgr.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12472","12472","5791744","5791744","187368","187368","58208256","58208256","13144064","13144064","158420992","158420992","True","High","5791744","5791744","00:09:13.4603478","taskmgr","15","True","1","System.Diagnostics.ProcessStartInfo","16/07/2011 15:16:07",,"System.Diagnostics.ProcessThreadCollection","00:21:42.4679491","00:12:29.0076013","100814848","100814848","False",,,,"9310208","9310208",,
"Process","wilson_0.06_windows_x86_64","35","48066560","3313664","1249280","5040","C:\ProgramData\BOINC\projects\registro.ibercivis.es\wilson_0.06_windows_x86_64.exe",,"1098,6214424",,,,,"4",,"False",,"2776","35","6816",".","0","","System.Diagnostics.ProcessModule (wilson_0.06_windows_x86_64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5040","5040","1249280","1249280","84888","84888","1249280","1249280","3321856","3321856","48066560","48066560","True","Idle","1249280","1249280","00:00:00.3120020","wilson_0.06_windows_x86_64","15","True","1","System.Diagnostics.ProcessStartInfo","21/07/2011 9:07:15",,"System.Diagnostics.ProcessThreadCollection","00:18:18.6214424","00:18:18.3094404","48066560","48066560","False",,,,"3313664","3313664",,
